"Date","Price","Open","High","Low","Vol.","Change %"
"May 04, 2020","1,673.68","1,666.69","1,676.57","1,646.57","34.24M","-0.94%"
"May 01, 2020","1,689.57","1,701.76","1,720.03","1,680.25","34.00M","-2.92%"
"Apr 30, 2020","1,740.40","1,722.69","1,754.31","1,712.68","44.60M","-0.70%"
"Apr 29, 2020","1,752.68","1,765.26","1,774.42","1,747.98","58.81M","0.34%"
"Apr 28, 2020","1,746.75","1,774.81","1,775.75","1,732.02","40.43M","0.49%"
"Apr 27, 2020","1,738.25","1,725.02","1,752.14","1,724.54","34.80M","1.84%"
"Apr 24, 2020","1,706.90","1,700.55","1,712.16","1,677.71","30.36M","0.96%"
"Apr 23, 2020","1,690.72","1,731.91","1,736.02","1,677.82","44.62M","-2.37%"
"Apr 22, 2020","1,731.70","1,670.94","1,744.05","1,670.94","44.05M","6.29%"
"Apr 21, 2020","1,629.29","1,631.20","1,647.59","1,612.02","39.20M","-2.34%"
"Apr 20, 2020","1,668.39","1,686.68","1,705.90","1,665.71","36.28M","-2.29%"
"Apr 17, 2020","1,707.48","1,685.98","1,712.70","1,663.18","44.19M","4.32%"
"Apr 16, 2020","1,636.83","1,614.47","1,640.14","1,582.64","40.63M","1.34%"
"Apr 15, 2020","1,615.21","1,612.36","1,628.11","1,599.88","37.90M","-2.64%"
"Apr 14, 2020","1,659.03","1,656.26","1,667.32","1,638.67","34.95M","2.44%"
"Apr 13, 2020","1,619.59","1,654.43","1,654.43","1,587.91","39.18M","-2.44%"
"Apr 09, 2020","1,660.18","1,629.61","1,675.10","1,620.96","61.97M","3.56%"
"Apr 08, 2020","1,603.15","1,567.14","1,610.62","1,551.24","47.07M","3.13%"
"Apr 07, 2020","1,554.45","1,624.08","1,637.55","1,548.95","58.07M","0.61%"
"Apr 06, 2020","1,545.02","1,477.07","1,555.68","1,473.74","54.67M","9.76%"
"Apr 03, 2020","1,407.58","1,426.05","1,432.63","1,370.80","43.94M","-1.87%"
"Apr 02, 2020","1,434.42","1,415.39","1,456.30","1,389.72","54.53M","1.59%"
"Apr 01, 2020","1,411.91","1,415.94","1,438.54","1,393.19","46.10M","-4.43%"
"Mar 31, 2020","1,477.32","1,495.38","1,519.35","1,473.78","53.86M","-2.20%"
"Mar 30, 2020","1,510.53","1,477.09","1,517.36","1,459.98","53.87M","2.43%"
"Mar 27, 2020","1,474.71","1,468.52","1,517.70","1,445.03","62.23M","-3.90%"
"Mar 26, 2020","1,534.56","1,491.85","1,561.91","1,474.02","70.35M","3.81%"
"Mar 25, 2020","1,478.30","1,501.94","1,551.91","1,438.00","77.57M","0.89%"
"Mar 24, 2020","1,465.32","1,363.83","1,468.28","1,361.11","77.98M","16.85%"
"Mar 23, 2020","1,254.00","1,274.68","1,317.75","1,234.72","76.00M","-3.67%"
"Mar 20, 2020","1,301.72","1,375.30","1,430.32","1,300.12","90.18M","-2.74%"
"Mar 19, 2020","1,338.46","1,204.12","1,362.87","1,156.26","90.01M","9.79%"
"Mar 18, 2020","1,219.15","1,241.08","1,253.63","1,107.48","88.96M","-6.96%"
"Mar 17, 2020","1,310.35","1,343.25","1,346.02","1,210.01","90.58M","-1.99%"
"Mar 16, 2020","1,337.02","1,433.81","1,443.07","1,329.97","64.51M","-15.67%"
"Mar 13, 2020","1,585.43","1,522.99","1,586.03","1,487.32","53.80M","6.16%"
"Mar 12, 2020","1,493.47","1,542.06","1,579.61","1,480.69","81.15M","-8.84%"
"Mar 11, 2020","1,638.26","1,719.30","1,726.92","1,618.31","47.69M","-7.36%"
"Mar 10, 2020","1,768.37","1,710.31","1,768.72","1,668.00","45.35M","5.86%"
"Mar 09, 2020","1,670.50","1,696.28","1,729.16","1,654.60","46.79M","-6.29%"
"Mar 06, 2020","1,782.63","1,732.26","1,789.74","1,717.22","43.64M","-0.36%"
"Mar 05, 2020","1,789.10","1,855.39","1,855.39","1,771.95","36.10M","-4.52%"
"Mar 04, 2020","1,873.73","1,844.39","1,874.74","1,825.38","32.67M","2.77%"
"Mar 03, 2020","1,823.27","1,866.86","1,889.92","1,805.06","36.13M","-2.56%"
"Mar 02, 2020","1,871.11","1,795.76","1,871.19","1,790.72","41.99M","3.88%"
"Feb 28, 2020","1,801.23","1,821.84","1,821.84","1,756.47","61.41M","-2.04%"
"Feb 27, 2020","1,838.82","1,900.11","1,908.01","1,838.56","47.55M","-4.74%"
"Feb 26, 2020","1,930.35","1,961.62","1,977.06","1,930.24","36.29M","-1.41%"
"Feb 25, 2020","1,958.03","2,003.66","2,015.68","1,950.10","34.55M","-1.82%"
"Feb 24, 2020","1,994.23","1,995.74","2,014.27","1,990.20","25.52M","-2.23%"
"Feb 21, 2020","2,039.65","2,039.25","2,045.08","2,029.28","23.92M","-0.22%"
"Feb 20, 2020","2,044.11","2,051.53","2,061.52","2,023.28","23.82M","0.18%"
"Feb 19, 2020","2,040.46","2,038.05","2,048.32","2,036.98","18.64M","0.34%"
"Feb 18, 2020","2,033.50","2,034.93","2,039.30","2,023.56","18.40M","-0.22%"
"Feb 14, 2020","2,038.02","2,041.56","2,043.73","2,032.36","15.81M","-0.08%"
"Feb 13, 2020","2,039.72","2,022.48","2,047.86","2,020.90","20.90M","0.55%"
"Feb 12, 2020","2,028.60","2,012.96","2,030.45","2,010.56","22.65M","0.94%"
"Feb 11, 2020","2,009.76","1,999.29","2,011.02","1,997.90","20.44M","0.71%"
"Feb 10, 2020","1,995.69","1,974.60","1,996.00","1,973.64","20.05M","0.99%"
"Feb 07, 2020","1,976.16","1,978.32","1,978.96","1,970.28","25.36M","-0.37%"
"Feb 06, 2020","1,983.50","2,005.44","2,005.44","1,980.60","28.03M","-0.98%"
"Feb 05, 2020","2,003.08","2,021.20","2,023.61","1,994.58","25.52M","-0.40%"
"Feb 04, 2020","2,011.07","2,008.28","2,022.95","1,997.44","26.49M","0.83%"
"Feb 03, 2020","1,994.58","1,990.45","2,012.97","1,989.73","24.37M","0.50%"
"Jan 31, 2020","1,984.61","2,004.57","2,008.11","1,978.27","26.09M","-1.11%"
"Jan 30, 2020","2,006.87","1,994.05","2,008.55","1,987.12","23.80M","-0.06%"
"Jan 29, 2020","2,008.00","1,995.21","2,015.30","1,988.31","31.08M","0.50%"
"Jan 28, 2020","1,998.05","1,997.16","2,008.69","1,991.20","24.43M","0.39%"
"Jan 27, 2020","1,990.31","1,977.23","2,000.71","1,971.43","25.66M","-1.62%"
"Jan 24, 2020","2,023.15","2,050.86","2,051.79","2,016.36","20.99M","-1.21%"
"Jan 23, 2020","2,047.88","2,020.26","2,048.18","2,008.08","19.53M","0.89%"
"Jan 22, 2020","2,029.74","2,037.74","2,046.13","2,029.50","19.63M","0.25%"
"Jan 21, 2020","2,024.65","2,024.15","2,035.88","2,020.05","23.99M","-0.49%"
"Jan 17, 2020","2,034.65","2,019.24","2,039.17","2,019.24","23.13M","0.86%"
"Jan 16, 2020","2,017.37","2,006.76","2,017.66","2,003.37","21.49M","0.77%"
"Jan 15, 2020","2,001.90","1,987.09","2,009.54","1,987.09","19.76M","0.76%"
"Jan 14, 2020","1,986.77","1,979.24","1,990.38","1,979.24","20.92M","0.18%"
"Jan 13, 2020","1,983.29","1,987.94","1,992.15","1,981.03","25.49M","0.01%"
"Jan 10, 2020","1,983.11","1,994.79","1,995.82","1,981.19","21.53M","-0.43%"
"Jan 09, 2020","1,991.71","1,981.90","2,002.66","1,980.02","26.16M","1.18%"
"Jan 08, 2020","1,968.43","1,944.62","1,975.94","1,941.57","21.72M","1.10%"
"Jan 07, 2020","1,947.00","1,944.29","1,947.15","1,934.17","20.69M","-0.13%"
"Jan 06, 2020","1,949.49","1,935.54","1,949.49","1,935.54","20.90M","0.25%"
"Jan 03, 2020","1,944.71","1,935.96","1,948.62","1,931.42","15.64M","-0.28%"
"Jan 02, 2020","1,950.26","1,924.65","1,950.26","1,923.39","22.06M","1.55%"